channel,artifact,strength,why,vantage
EventCode=23,$MFT,strong,Deleted record / orphan.,host
EventCode=23,Recycle Bin $I files,moderate,If deleted to Recycle Bin.,host
EventCode=23,Sysmon Event Log,strong,Event 23 file delete logged.,host
EventCode=23,USN Journal ($J),strong,File delete USN reason.,host
EventCode=25,Amcache.hve,moderate,Original image presence.,host
EventCode=25,Prefetch,moderate,Original image execution.,host
EventCode=25,Sysmon Event Log,strong,Event 25 process tampering.,host
"EventCode=3, 22",SRUM,moderate,Network usage bytes/time for the same process.,host
"EventCode=3, 22",Sysmon Event Log,strong,Event 3 network connect and Event 22 DNS query.,host
"EventCode=3, 22",Windows Firewall Log,moderate,5-tuple allow/block complementary to Event 3.,host
"EventCode=3, 22",PCAP / PCAPNG,moderate,Packets for those connections/queries.,network
"EventCode=3, 22","conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",strong,Wire 5-tuple counterpart to Sysmon Event 3.,network
"EventCode=3, 22","dns.log (DNS queries and responses, passive DNS from the wire)",strong,Wire DNS counterpart to Sysmon Event 22.,network
EventCode=31001,Application Event Log,moderate,Sometimes mirrored in Application.,host
EventCode=31001,Windows Defender,strong,Product log for that event.,host
EventCode=31001,Windows Defender Event Log,strong,Defender/AppLocker-style 31001 class events.,host
EventCode=4,SYSTEM hive,moderate,Service configuration.,host
EventCode=4,Sysmon Event Log,strong,Event 4 Sysmon service state.,host
EventCode=4,System Event Log,moderate,Service control events alongside Sysmon service.,host
"EventCode=400, 403",PowerShell Console Log,moderate,Same session leftovers.,host
"EventCode=400, 403",PowerShell Event Log,strong,400 engine start / 403 engine stop.,host
"EventCode=400, 403",PowerShell Transcripts,moderate,Transcripts start with engine sessions.,host
"EventCode=4103, 4104, 4105, 4106",PowerShell Console Log,moderate,Overlapping command history.,host
"EventCode=4103, 4104, 4105, 4106",PowerShell Event Log,strong,These are PowerShell operational/script-block event IDs.,host
"EventCode=4103, 4104, 4105, 4106",PowerShell Transcripts,strong,Same script content as 4104 when transcripts are on.,host
EventCode=4624,Security Event Log,strong,4624 successful logon.,host
"EventCode=4624, 4625, 4768, 4769",Security Event Log,strong,Logon success/fail plus Kerberos TGT/TGS.,host
"EventCode=4624, 4625, 4768, 4769","conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",moderate,Auth session 5-tuple.,network
"EventCode=4624, 4625, 4768, 4769",kerberos.log,strong,Kerberos on the wire for 4768/4769.,network
"EventCode=4624, 4625, 4768, 4769",ntlm.log,moderate,NTLM on the wire when the logon is NTLM.,network
"EventCode=4624, 4648",Security Event Log,strong,Logon plus explicit credentials.,host
EventCode=4625,Security Event Log,strong,4625 failed logon.,host
"EventCode=4625, 4771, 4648",Security Event Log,strong,"Failed logon, Kerberos pre-auth fail, explicit creds.",host
"EventCode=4625, 4771, 4648",kerberos.log,moderate,Failed Kerberos pre-auth can appear in kerberos.log.,network
"EventCode=4625, 4771, 4648",ntlm.log,moderate,Failed NTLM on the wire.,network
EventCode=4648,Security Event Log,strong,4648 logon with explicit credentials.,host
EventCode=4657,NTUSER.DAT,moderate,Resulting NTUSER value.,host
EventCode=4657,Run / RunOnce,moderate,If a Run value was the change.,host
EventCode=4657,SOFTWARE hive,moderate,Resulting SOFTWARE value.,host
EventCode=4657,SYSTEM hive,moderate,Resulting SYSTEM value.,host
EventCode=4657,Security Event Log,strong,4657 registry value changed.,host
EventCode=4661,SAM hive,moderate,Account object that was targeted.,host
EventCode=4661,Security Event Log,strong,4661 handle to an object (often SAM/DS).,host
EventCode=4662,Security Event Log,strong,4662 directory service object operation.,host
"EventCode=4663, 4670, 4656",$MFT,moderate,Target file on NTFS.,host
"EventCode=4663, 4670, 4656",Security Event Log,strong,"Object access, permissions change, handle request.",host
"EventCode=4663, 4670, 4656",USN Journal ($J),moderate,File access/change USN.,host
EventCode=4672,Security Event Log,strong,4672 special privileges assigned at logon.,host
"EventCode=4672, 4634",Security Event Log,strong,Privileged logon plus logoff.,host
EventCode=4673,Security Event Log,strong,4673 privileged service called.,host
EventCode=4688,Amcache.hve,moderate,Execution corroboration.,host
EventCode=4688,BAM / DAM,moderate,Execution activity evidence.,host
EventCode=4688,Prefetch,moderate,Execution corroboration.,host
EventCode=4688,Security Event Log,strong,4688 process create.,host
EventCode=4688,Shimcache (AppCompatCache),moderate,OS saw the binary.,host
EventCode=4688,UserAssist,moderate,GUI launch only.,host
EventCode=4697,Amcache.hve,moderate,Service binary present/executed.,host
EventCode=4697,Prefetch,moderate,Service binary executed.,host
EventCode=4697,Security Event Log,strong,4697 service installed.,host
EventCode=4697,Services and system configuration stored in the SYSTEM hive,strong,Service key created.,host
EventCode=4698,Scheduled Tasks,strong,Task XML on disk.,host
EventCode=4698,Security Event Log,strong,4698 scheduled task created.,host
EventCode=4698,Task Scheduler Event Log,strong,Operational task events.,host
EventCode=4702,Scheduled Tasks,strong,Updated task XML.,host
EventCode=4702,Security Event Log,strong,4702 scheduled task updated.,host
EventCode=4702,Task Scheduler Event Log,strong,Operational task events.,host
EventCode=4704,Security Event Log,strong,4704 user right assigned.,host
EventCode=4720,SAM hive,strong,New account in SAM.,host
EventCode=4720,Security Event Log,strong,4720 user account created.,host
"EventCode=4728, 4729, 4732, 4733, 4756, 4757",SAM hive,strong,Group membership in SAM.,host
"EventCode=4728, 4729, 4732, 4733, 4756, 4757",Security Event Log,strong,Local/global/universal group membership changes.,host
"EventCode=4738, 4728, 4670",SAM hive,moderate,Resulting account/group state.,host
"EventCode=4738, 4728, 4670",Security Event Log,strong,"Account change, group add, permissions change.",host
EventCode=4739,Group Policy,strong,Policy objects that changed.,host
EventCode=4739,Security Event Log,strong,4739 domain policy changed.,host
EventCode=4768,Security Event Log,strong,4768 Kerberos TGT requested.,host
EventCode=4768,PCAP / PCAPNG,moderate,AS-REQ/AS-REP if needed.,network
EventCode=4768,"conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",moderate,Session to 88.,network
EventCode=4768,kerberos.log,strong,TGT request is kerberos.log.,network
EventCode=4769,Security Event Log,strong,4769 Kerberos service ticket requested.,host
EventCode=4769,"conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",moderate,Session to 88.,network
EventCode=4769,kerberos.log,strong,TGS request is kerberos.log.,network
"EventCode=4776, 4625",Security Event Log,strong,NTLM credential validation and failed logon.,host
"EventCode=4776, 4625","conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",moderate,Session carrying NTLM.,network
"EventCode=4776, 4625",ntlm.log,strong,NTLM validation on the wire.,network
"EventCode=4776, 4771, 4770",Security Event Log,strong,"NTLM validation, Kerberos pre-auth fail, ticket revoked.",host
"EventCode=4776, 4771, 4770",kerberos.log,moderate,4771/4770 are Kerberos.,network
"EventCode=4776, 4771, 4770",ntlm.log,strong,NTLM on the wire.,network
"EventCode=4778, EventCode=4779",RDP Bitmap Cache,moderate,"Session content, not the connect/disconnect IDs.",host
"EventCode=4778, EventCode=4779",RDP Logs,strong,RDP client/server logs for that session.,host
"EventCode=4778, EventCode=4779",Security Event Log,strong,4778/4779 session reconnect/disconnect.,host
"EventCode=4778, EventCode=4779",Terminal Services / RDP Event Logs,strong,RDP session operational events.,host
"EventCode=4778, EventCode=4779",PCAP / PCAPNG,moderate,RDP payload if unencrypted enough to use.,network
"EventCode=4778, EventCode=4779","conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",strong,3389 session.,network
"EventCode=4778, EventCode=4779",rdp.log,strong,RDP session metadata on the wire.,network
"EventCode=4798, 4799",SAM hive,moderate,Groups that were enumerated.,host
"EventCode=4798, 4799",Security Event Log,strong,Local group membership enumerated.,host
"EventCode=4800, 4801",Security Event Log,strong,Workstation locked/unlocked.,host
EventCode=4929,Security Event Log,strong,AD replica source removed / related DS event.,host
EventCode=5,Sysmon Event Log,strong,Event 5 process terminated.,host
EventCode=5136,Security Event Log,strong,5136 directory service object modified.,host
EventCode=5140,Security Event Log,strong,5140 network share accessed.,host
EventCode=5140,"conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",strong,Session to 445.,network
EventCode=5140,smb_files.log (SMB file access),moderate,Files touched on that share.,network
EventCode=5140,smb_mapping.log (share / tree connects),strong,Share access on the wire.,network
EventCode=5145,Security Event Log,strong,5145 detailed file share access.,host
EventCode=5145,"conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",moderate,SMB session.,network
EventCode=5145,smb_cmd.log (SMB commands),strong,SMB commands for that path.,network
EventCode=5145,smb_files.log (SMB file access),strong,Detailed SMB file access on the wire.,network
"EventCode=5156, 5157",Security Event Log,strong,WFP allow (5156) and block (5157).,host
"EventCode=5156, 5157",Windows Firewall Log,strong,Same allow/block decision in firewall logging.,host
"EventCode=5156, 5157",PCAP / PCAPNG,moderate,Packets for that WFP decision.,network
"EventCode=5156, 5157",Suricata alerts (signature hits on the wire),moderate,May alert on the same flow.,network
"EventCode=5156, 5157","conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",strong,Allowed/blocked 5-tuple on the wire.,network
"EventCode=5857, 5858, 5860, 5861",System Event Log,moderate,WMI-Activity events often surface here/related channels.,host
"EventCode=5857, 5858, 5860, 5861",WMI Repository (WBEM),strong,WMI activity/registration tied to these event IDs.,host
EventCode=6,Amcache.hve,moderate,Driver file present/executed.,host
EventCode=6,SYSTEM hive,strong,Services/drivers keys.,host
EventCode=6,Shimcache (AppCompatCache),moderate,OS saw the driver image.,host
EventCode=6,Sysmon Event Log,strong,Event 6 driver loaded.,host
EventCode=7,Amcache.hve,moderate,Loaded image on disk.,host
EventCode=7,Shimcache (AppCompatCache),moderate,OS saw the image.,host
EventCode=7,Sysmon Event Log,strong,Event 7 image loaded.,host
EventCode=7035,Services and system configuration stored in the SYSTEM hive,moderate,Service that was controlled.,host
EventCode=7035,System Event Log,strong,7035 service send-control success.,host
EventCode=7036,Services and system configuration stored in the SYSTEM hive,moderate,Service state in SYSTEM.,host
EventCode=7036,System Event Log,strong,7036 service running/stopped.,host
EventCode=7045,Amcache.hve,moderate,Service binary presence.,host
EventCode=7045,Prefetch,moderate,Service binary execution.,host
EventCode=7045,Services and system configuration stored in the SYSTEM hive,strong,New service key.,host
EventCode=7045,System Event Log,strong,7045 service installed.,host
EventCode=8,Amcache.hve,moderate,Source/target images on disk.,host
EventCode=8,Prefetch,moderate,Source/target process image execution.,host
EventCode=8,Sysmon Event Log,strong,Event 8 CreateRemoteThread.,host
"EventCode=8001, 8002, 8003",Amcache.hve,moderate,Targeted binary.,host
"EventCode=8001, 8002, 8003",Application Event Log,moderate,Sometimes duplicated.,host
"EventCode=8001, 8002, 8003",Prefetch,moderate,Targeted binary execution.,host
"EventCode=8001, 8002, 8003",Windows Defender,strong,Defender product artifacts.,host
"EventCode=8001, 8002, 8003",Windows Defender Event Log,strong,Defender 800x detection/action class events.,host
EventCode=9,$MFT,moderate,Volume/file that was raw-read.,host
EventCode=9,Sysmon Event Log,strong,Event 9 RawAccessRead.,host
Excessive lookups for domains with suspicious WHOIS or short TTL values,Sysmon Event Log,moderate,Event 22 can show query volume and names. No WHOIS or TTL.,host
Excessive lookups for domains with suspicious WHOIS or short TTL values,PCAP / PCAPNG,moderate,Raw DNS PDUs.,network
Excessive lookups for domains with suspicious WHOIS or short TTL values,"dns.log (DNS queries and responses, passive DNS from the wire)",strong,"Query volume, names, and TTL are in dns.log. WHOIS is still external.",network
Excessive lookups for domains with suspicious WHOIS or short TTL values,intel.log (hits on threat-intel indicators),moderate,If those domains are in Zeek intel.,network
Exchange logs or header artifacts,PowerShell Event Log,moderate,Admin/Exchange cmdlets; not the mail header store.,host
Exchange logs or header artifacts,PowerShell Transcripts,moderate,"Same, if headers were pulled via script.",host
Exchange logs or header artifacts,PCAP / PCAPNG,moderate,Mail on the wire if unencrypted.,network
Exchange logs or header artifacts,smtp.log,moderate,"SMTP envelope/headers on the wire, not the Exchange store.",network
Execution of 'Get-WmiObject Win32_Product' or similar PowerShell cmdlets,PowerShell Console Log,moderate,Console history.,host
Execution of 'Get-WmiObject Win32_Product' or similar PowerShell cmdlets,PowerShell Event Log,strong,4104 records Get-WmiObject.,host
Execution of 'Get-WmiObject Win32_Product' or similar PowerShell cmdlets,PowerShell Transcripts,strong,Full cmdlet text.,host
Execution of 'Get-WmiObject Win32_Product' or similar PowerShell cmdlets,WMI Repository (WBEM),moderate,"WMI was queried; repo shows classes, not the query event.",host
First-time egress to non-approved update hosts right after install/update,Amcache.hve,strong,First-seen binary timing.,host
First-time egress to non-approved update hosts right after install/update,Prefetch,strong,New binary execution timing.,host
First-time egress to non-approved update hosts right after install/update,SRUM,moderate,Network usage spike after the new binary.,host
First-time egress to non-approved update hosts right after install/update,Sysmon Event Log,strong,Event 1 plus Event 3/22 for the egress.,host
First-time egress to non-approved update hosts right after install/update,Windows Firewall Log,moderate,Outbound allow to that host.,host
First-time egress to non-approved update hosts right after install/update,"conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",strong,First sessions to that update host.,network
First-time egress to non-approved update hosts right after install/update,"dns.log (DNS queries and responses, passive DNS from the wire)",strong,First resolution of that host.,network
First-time egress to non-approved update hosts right after install/update,"http.log (URLs, User-Agents, Referrers, MIME types, status codes)",moderate,HTTP update URLs if not TLS-only.,network
First-time egress to non-approved update hosts right after install/update,software.log (software / version fingerprints),moderate,User-agent/software fingerprint of the updater.,network
First-time egress to non-approved update hosts right after install/update,"ssl.log (TLS handshake: SNI, version, cipher)",moderate,SNI of the update host.,network
Firewall Rule Modification,SYSTEM hive,strong,Firewall policy keys.,host
Firewall Rule Modification,Windows Firewall Log,strong,Rule add/change/delete events.,host
High-frequency or suspicious sequence of QueryPerformanceCounter/GetTickCount API calls from a non-standard process lineage,Event Trace Logs,strong,API call sequence is an ETW/trace question.,host
High-frequency or suspicious sequence of QueryPerformanceCounter/GetTickCount API calls from a non-standard process lineage,Sysmon Event Log,moderate,"Process lineage (parent/child), not the API names.",host
"ICMP/UDP traffic (Wireshark, Suricata, Zeek)",Sysmon Event Log,moderate,Event 3 can record UDP. ICMP coverage is limited.,host
"ICMP/UDP traffic (Wireshark, Suricata, Zeek)",Windows Firewall Log,moderate,Allow/block for those protocols if logged.,host
"ICMP/UDP traffic (Wireshark, Suricata, Zeek)",PCAP / PCAPNG,strong,What Wireshark would open.,network
"ICMP/UDP traffic (Wireshark, Suricata, Zeek)",Suricata alerts (signature hits on the wire),moderate,UDP/ICMP alerts if a rule fired.,network
"ICMP/UDP traffic (Wireshark, Suricata, Zeek)","conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",strong,Zeek conn.log is ICMP/UDP/TCP sessions.,network
"ICMP/UDP traffic (Wireshark, Suricata, Zeek)",traceroute.log,moderate,ICMP traceroute-like patterns.,network
"ICMP/UDP traffic (Wireshark, Suricata, Zeek)",weird.log (protocol violations and odd behavior),moderate,Odd ICMP/UDP protocol behavior.,network
Inbound HTTP POST with suspicious payload size or user-agent,Extracted files (carved from Zeek or Suricata),moderate,Carved POST payload.,network
Inbound HTTP POST with suspicious payload size or user-agent,PCAP / PCAPNG,strong,Full POST body and headers.,network
Inbound HTTP POST with suspicious payload size or user-agent,Suricata alerts (signature hits on the wire),moderate,HTTP POST / UA signatures.,network
Inbound HTTP POST with suspicious payload size or user-agent,"files.log (files observed on the wire: hashes, MIME, size)",moderate,POST body carved as a file.,network
Inbound HTTP POST with suspicious payload size or user-agent,"http.log (URLs, User-Agents, Referrers, MIME types, status codes)",strong,"Method, URI, user-agent, request body length, status.",network
Inbound HTTP POST with suspicious payload size or user-agent,http2.log,moderate,Same request if spoken as HTTP/2.,network
